Decay (d)	T_eff	L/C amp (mag)
27.028132	5472	0.005055
36.572904	5250	0.004137
72.032729	4404	0.006364
25.526586	3934	0.003408
21.572173	5760	0.001375
35.014623	4132	0.002133
198.348806	4814	0.010292
63.617979	4571	0.004746
16.836983	5136	0.001548
66.354976	5225	0.006152
122.757446	3451	0.012275
43.985502	5524	0.008908
43.153157	5226	0.004719
28.189182	4248	0.002236
120.220197	4379	0.007538
19.343471	5677	0.001715
79.931734	5455	0.007512
75.605384	5430	0.004611
156.595216	5105	0.017060
36.604585	6273	0.000907
52.375901	5548	0.001768
60.856980	4244	0.004195
53.261740	5645	0.002155
181.992150	4445	0.016005
28.285531	4380	0.002230
24.850824	5666	0.002527
22.355230	5465	0.004421
27.179159	5584	0.001593
33.460634	5114	0.004374
51.313037	5394	0.002931
113.448519	4992	0.005656
91.173104	3547	0.004139
43.645084	5459	0.003301
84.710060	5817	0.001213
56.201804	5348	0.006616
30.930145	5567	0.002449
257.909807	4338	0.013365
109.692475	4983	0.007639
36.188565	5109	0.008849
42.562137	5365	0.002387
84.182459	5332	0.010052
36.492711	5953	0.003649
41.780345	5548	0.002773
22.991894	5650	0.002147
66.658798	5101	0.009688
305.899481	4572	0.010314
94.816186	4147	0.005084
56.868393	5415	0.003225
87.628884	5295	0.009971
37.842169	5533	0.002834
49.796528	5265	0.005780
67.375279	5045	0.004178
53.160973	5128	0.006642
30.161681	4971	0.002999
30.065919	5081	0.003694
130.142567	4933	0.013286
22.803202	5063	0.002150
89.428764	5249	0.009592
43.871757	5454	0.003355
234.909425	4187	0.013859
114.978673	4325	0.008597
29.944111	4309	0.003041
20.198901	5685	0.002743
33.636577	5086	0.004654
87.046085	5253	0.005482
32.601838	5521	0.003970
105.332136	4990	0.010829
31.627276	5283	0.001017
32.286047	5655	0.000342
31.992342	5613	0.006968
24.947245	5520	0.002292
57.737993	5119	0.006329
149.770961	5200	0.020197
110.977855	4821	0.007486
140.830554	4745	0.009631
70.431095	4785	0.012142
106.291560	4950	0.004460
235.850589	4924	0.016827
15.801482	5560	0.001546
130.754112	4744	0.013932
59.960195	4961	0.004852
120.527229	4936	0.021969
22.345570	5470	0.003309
20.494329	5206	0.001867
107.835766	4198	0.007804
22.640223	4972	0.003237
151.692715	4845	0.007878
46.070624	5416	0.004433
31.828962	5249	0.005999
58.045749	5366	0.006747
283.885018	5130	0.011662
23.809946	5611	0.002597
19.528872	5343	0.002828
60.874656	4860	0.004422
230.708496	4950	0.019300
31.089872	5665	0.003072
115.614108	5084	0.007888
232.076161	3462	0.015154
